t;fuego;arboles;vacios
1;156728;262543;629305
2;124883;7601;916092
3;2412;16135;1030029
4;115;28255;1020206
5;9;40224;1008343
6;1;52568;996007
1;157381;262400;628795
2;125380;7547;915649
3;2396;16179;1030001
4;133;28331;1020112
5;13;40626;1007937
6;1;52521;996054
1;157273;262190;629113
2;125387;7527;915662
3;2461;16042;1030073
4;128;28474;1019974
5;10;40605;1007961
6;1;52709;995866
1;157197;262199;629180
2;125172;7527;915877
3;2408;16109;1030059
4;118;28219;1020239
5;8;40378;1008190
1;156747;262668;629161
2;124828;7663;916085
3;2440;16071;1030065
4;123;28190;1020263
5;8;40168;1008400
6;2;52263;996311
1;157039;261597;629940
2;124935;7568;916073
3;2435;16220;1029921
4;128;28233;1020215
5;10;40192;1008374
6;2;52402;996172
1;157476;261654;629446
2;125600;7470;915506
3;2379;16141;1030056
4;121;28282;1020173
5;15;40808;1007753
6;1;52816;995759
1;157492;262587;628497
2;125458;7450;915668
3;2425;15884;1030267
4;111;28027;1020438
5;13;40124;1008439
1;157621;261823;629132
2;124951;7477;916148
3;2322;16136;1030118
4;118;28505;1019953
5;8;40799;1007769
1;157610;262827;628139
2;125923;7543;915110
3;2446;16232;1029898
4;132;28636;1019808
5;10;40938;1007628
6;1;53172;995403
1;157210;263198;628168
2;126082;7426;915068
3;2382;16033;1030161
4;107;28372;1020097
5;7;40583;1007986
6;2;52641;995933
7;1;64720;983855
1;157174;261815;629587
2;125234;7515;915827
3;2356;15952;1030268
4;107;28261;1020208
5;9;40596;1007971
6;2;52517;996057
1;157341;261457;629778
2;125196;7553;915827
3;2355;16061;1030160
4;120;28285;1020171
5;10;40544;1008022
6;1;52551;996024
7;1;64341;984234
1;156986;261886;629704
2;125277;7561;915738
3;2472;16140;1029964
4;116;28124;1020336
5;11;40404;1008161
6;1;52517;996058
1;157243;262156;629177
2;125424;7587;915565
3;2396;16259;1029921
4;130;28305;1020141
5;7;40464;1008105
1;156736;261991;629849
2;124495;7696;916385
3;2395;16165;1030016
4;111;28542;1019923
5;13;40711;1007852
1;157427;262364;628785
2;125316;7623;915637
3;2397;16129;1030050
4;122;28216;1020238
5;6;40483;1008087
1;157657;261974;628945
2;125432;7589;915555
3;2438;16005;1030133
4;122;28203;1020251
5;11;40419;1008146
6;1;52534;996041
1;157157;262084;629335
2;124844;7561;916171
3;2446;16122;1030008
4;149;28440;1019987
5;9;40714;1007853
6;2;52934;995640
1;157048;262083;629445
2;125215;7390;915971
3;2322;16059;1030195
4;105;28315;1020156
5;18;40477;1008081
6;2;52713;995861
1;157112;262408;629056
2;125072;7524;915980
3;2385;16064;1030127
4;123;28344;1020109
5;16;40618;1007942
1;157399;261429;629748
2;124997;7537;916042
3;2443;16004;1030129
4;105;28233;1020238
5;9;40368;1008199
1;157518;261476;629582
2;124987;7607;915982
3;2428;16244;1029904
4;128;28655;1019793
5;12;40969;1007595
6;2;52962;995612
1;157352;262119;629105
2;125422;7559;915595
3;2385;16135;1030056
4;109;28543;1019924
5;14;40850;1007712
1;158152;262598;627826
2;125909;7497;915170
3;2412;15971;1030193
4;117;28265;1020194
5;11;40491;1008074
1;157161;262148;629267
2;125366;7485;915725
3;2421;16118;1030037
4;133;28323;1020120
5;13;40536;1008027
1;157523;262195;628858
2;125442;7529;915605
3;2399;16058;1030119
4;128;28160;1020288
5;8;40211;1008357
6;1;52494;996081
1;157353;261129;630094
2;124824;7562;916190
3;2395;16212;1029969
4;141;28532;1019903
5;13;40609;1007954
1;157549;262336;628691
2;125530;7631;915415
3;2414;16151;1030011
4;123;28302;1020151
5;9;40555;1008012
1;156831;262395;629350
2;125071;7747;915758
3;2492;16050;1030034
4;128;28344;1020104
5;9;40512;1008055
6;1;52510;996065
1;157099;262843;628634
2;125919;7461;915196
3;2269;16395;1029912
4;133;28629;1019814
5;7;40769;1007800
1;157601;261943;629032
2;125411;7448;915717
3;2478;15931;1030167
4;114;28174;1020288
5;12;40370;1008194
6;1;52481;996094
1;157139;262309;629128
2;125206;7533;915837
3;2471;16003;1030102
4;119;28370;1020087
5;12;40702;1007862
6;2;52751;995823
1;157546;261561;629469
2;125245;7635;915696
3;2388;16250;1029938
4;112;28444;1020020
5;11;40627;1007938
6;1;52706;995869
1;157519;262695;628362
2;125699;7628;915249
3;2456;16274;1029846
4;134;28528;1019914
5;11;40718;1007847
6;2;52827;995747
1;157050;262716;628810
2;125406;7488;915682
3;2347;16222;1030007
4;137;28484;1019955
5;12;40746;1007818
6;1;52937;995638
1;156490;262188;629898
2;125239;7597;915740
3;2320;16300;1029956
4;107;28550;1019919
5;6;40618;1007952
6;2;52709;995865
1;157493;261951;629132
2;125980;7484;915112
3;2457;16104;1030015
4;128;28225;1020223
5;10;40361;1008205
1;157457;262837;628282
2;126038;7559;914979
3;2423;16113;1030040
4;135;28407;1020034
5;6;40797;1007773
1;157317;262390;628869
2;125614;7620;915342
3;2440;15998;1030138
4;124;28419;1020033
5;4;40589;1007983
1;157166;262270;629140
2;125073;7493;916010
3;2413;16054;1030109
4;124;28246;1020206
5;6;40522;1008048
6;3;52693;995880
1;156567;263166;628843
2;124932;7544;916100
3;2384;16121;1030071
4;131;28452;1019993
5;11;40584;1007981
1;157867;261948;628761
2;125473;7574;915529
3;2411;16283;1029882
4;133;28564;1019879
5;11;40873;1007692
1;157194;262305;629077
2;125425;7528;915623
3;2378;16323;1029875
4;136;28576;1019864
5;12;40831;1007733
6;1;52937;995638
1;157588;262764;628224
2;125646;7553;915377
3;2436;16075;1030065
4;113;28189;1020274
5;12;40373;1008191
6;1;52297;996278
1;157136;261959;629481
2;125045;7565;915966
3;2414;16152;1030010
4;130;28278;1020168
5;14;40557;1008005
6;1;52613;995962
1;157022;261768;629786
2;125373;7412;915791
3;2419;16005;1030152
4;131;28173;1020272
5;11;40444;1008121
6;1;52547;996028
7;1;64357;984218
8;1;75958;972617
1;157181;262509;628886
2;125764;7557;915255
3;2510;16021;1030045
4;111;28178;1020287
5;10;40525;1008041
6;2;52750;995824
7;2;64881;983693
1;157456;262154;628966
2;125103;7434;916039
3;2330;16172;1030074
4;110;28412;1020054
5;5;40512;1008059
6;1;52732;995843
1;157238;261838;629500
2;125114;7667;915795
3;2416;16227;1029933
4;113;28512;1019951
5;8;40731;1007837
6;1;52942;995633
1;157140;261566;629870
2;125339;7393;915844
3;2369;15933;1030274
4;123;28242;1020211
5;7;40552;1008017
1;157319;261418;629839
2;125015;7708;915853
3;2427;16110;1030039
4;121;28361;1020094
5;10;40656;1007910
6;2;52869;995705
1;157542;261573;629461
2;125077;7642;915857
3;2436;16273;1029867
4;129;28460;1019987
5;9;40893;1007674
6;1;52896;995679
1;157746;262801;628029
2;125963;7580;915033
3;2447;16116;1030013
4;113;28412;1020051
5;11;40405;1008160
6;1;52462;996113
1;157588;263066;627922
2;125688;7480;915408
3;2347;16173;1030056
4;121;28350;1020105
5;15;40412;1008149
6;1;52581;995994
1;157346;262975;628255
2;125687;7398;915491
3;2430;15889;1030257
4;131;28055;1020390
5;11;40256;1008309
1;156979;263347;628250
2;125502;7677;915397
3;2450;16134;1029992
4;103;28230;1020243
5;14;40496;1008066
6;1;52726;995849
1;157435;261477;629664
2;125128;7593;915855
3;2405;16100;1030071
4;113;28472;1019991
5;7;40840;1007729
1;157941;261992;628643
2;125293;7596;915687
3;2372;16444;1029760
4;117;28545;1019914
5;3;40793;1007780
1;157125;262217;629234
2;124925;7542;916109
3;2421;16002;1030153
4;111;28278;1020187
5;7;40331;1008238
6;1;52324;996251
7;1;64233;984342
1;157159;262478;628939
2;125560;7567;915449
3;2403;16087;1030086
4;109;28350;1020117
5;6;40591;1007979
1;157487;261163;629926
2;125222;7553;915801
3;2393;15977;1030206
4;125;27996;1020455
5;9;40369;1008198
1;157511;262307;628758
2;125726;7542;915308
3;2417;16174;1029985
4;111;28483;1019982
5;15;40762;1007799
6;1;52762;995813
1;156903;262374;629299
2;125142;7658;915776
3;2505;16302;1029769
4;136;28553;1019887
5;6;40725;1007845
6;1;52772;995803
1;157302;261633;629641
2;125152;7758;915666
3;2437;16402;1029737
4;112;28856;1019608
5;14;41049;1007513
6;3;53173;995400
1;157515;262183;628878
2;125108;7572;915896
3;2423;16126;1030027
4;123;28479;1019974
5;8;40729;1007839
6;1;52742;995833
1;157806;261493;629277
2;125272;7563;915741
3;2401;16183;1029992
4;119;28520;1019937
5;12;40979;1007585
6;2;53172;995402
1;158404;261592;628580
2;125574;7553;915449
3;2458;16162;1029956
4;129;28455;1019992
5;8;40629;1007939
1;156810;262252;629514
2;124976;7643;915957
3;2412;16384;1029780
4;128;28559;1019889
5;10;40703;1007863
6;1;52705;995870
1;157529;261640;629407
2;125234;7555;915787
3;2377;16258;1029941
4;111;28565;1019900
