t;fuego;arboles;vacios
1;39084;65623;157437
2;31258;79060;151826
3;25204;129818;107122
4;35263;148234;78647
5;51086;136260;74798
6;62252;111154;88738
7;60361;94823;106960
8;49859;98326;113959
9;44493;110756;106895
10;47747;116524;97873
11;53676;111749;96719
12;55723;104544;101877
13;53773;101891;106480
14;50875;104354;106915
15;50614;107343;104187
16;52020;107131;102993
17;52912;105405;103827
18;52713;104487;104944
19;52145;104666;105333
20;51865;105515;104764
21;52033;105737;104374
22;52581;105294;104269
23;52469;104768;104907
24;52478;104650;105016
25;52114;105099;104931
26;52191;105444;104509
27;52322;105325;104497
28;52487;105001;104656
29;52380;104812;104952
30;52370;104738;105036
31;52200;105062;104882
32;52384;105018;104742
33;52486;105112;104546
34;52140;105311;104693
35;52470;105322;104352
36;52776;104905;104463
37;52572;104589;104983
38;52296;104958;104890
39;52085;105492;104567
40;51901;105953;104290
41;52327;105882;103935
42;52607;105168;104369
43;52451;104826;104867
44;52133;104826;105185
45;51970;105522;104652
46;52138;105780;104226
47;52473;105286;104385
48;52440;105163;104541
49;52311;105146;104687
50;52206;104985;104953
51;51928;105382;104834
52;51878;106375;103891
53;52570;105702;103872
54;52784;104941;104419
55;52510;104847;104787
56;52313;105124;104707
57;52336;105184;104624
58;52204;105448;104492
59;52299;105226;104619
60;52140;105582;104422
61;52284;105412;104448
62;52550;104940;104654
63;52278;105204;104662
64;52040;105592;104512
65;52297;105459;104388
66;52136;105384;104624
67;52295;105391;104458
68;52402;105352;104390
69;52336;105063;104745
70;52197;105443;104504
71;52074;105727;104343
72;52201;105521;104422
73;51923;105826;104395
74;52259;105794;104091
75;52315;105390;104439
76;52219;105533;104392
77;52294;105090;104760
78;52305;105159;104680
79;52174;105400;104570
80;52198;105305;104641
81;51997;105536;104611
82;52211;105596;104337
83;52292;105532;104320
84;52162;105787;104195
85;51939;105992;104213
86;52103;105997;104044
87;52442;105781;103921
88;52200;105381;104563
89;52023;105659;104462
90;52168;105549;104427
91;52310;105503;104331
92;52293;105684;104167
93;52213;105550;104381
94;52396;104930;104818
95;52108;105483;104553
96;52126;105732;104286
97;52338;105348;104458
98;52354;105384;104406
99;52409;105231;104504
100;52220;105225;104699
101;52024;105349;104771
102;51976;105915;104253
103;52193;105941;104010
104;52536;105423;104185
105;52662;104923;104559
106;52135;104657;105352
107;51769;105718;104657
108;52142;105919;104083
109;52571;105249;104324
110;52398;104955;104791
111;52132;105411;104601
112;52202;105476;104466
113;52345;105543;104256
114;52353;105580;104211
115;52471;105290;104383
116;52409;105085;104650
117;52175;105435;104534
118;52141;105193;104810
119;51992;105888;104264
120;52261;106057;103826
121;52517;105513;104114
122;52512;104977;104655
123;52171;105036;104937
124;52170;105514;104460
125;52204;105944;103996
126;52324;105712;104108
127;52572;105187;104385
128;52409;105324;104411
129;52033;105375;104736
130;52145;105301;104698
131;52026;105549;104569
132;51979;105666;104499
133;52606;105416;104122
134;52444;105198;104502
135;52368;105059;104717
136;52307;105230;104607
137;52021;105638;104485
138;52212;105616;104316
139;52408;105583;104153
140;52261;105489;104394
141;52220;105605;104319
142;52430;105467;104247
143;52347;105082;104715
144;52213;105517;104414
145;52270;105608;104266
146;52519;105432;104193
147;52540;104922;104682
148;52271;105173;104700
