t;fuego;arboles;vacios
1;38927;65992;157225
2;31348;1963;228833
3;647;4070;257427
4;28;7165;254951
5;4;10297;251843
1;39245;65518;157381
2;31297;1960;228887
3;592;4078;257474
4;35;7153;254956
5;2;10275;251867
1;39220;65955;156969
2;31543;1848;228753
3;587;3879;257678
4;36;6919;255189
5;2;9968;252174
6;1;12989;249154
1;39351;65841;156952
2;31343;1846;228955
3;590;4048;257506
4;24;7069;255051
5;3;10121;252020
6;2;13179;248963
1;39384;65481;157279
2;31485;1850;228809
3;620;4006;257518
4;38;6981;255125
1;39297;65452;157395
2;31238;1870;229036
3;610;4068;257466
4;36;7192;254916
5;5;10209;251930
1;39735;65400;157009
2;31558;1857;228729
3;582;3899;257663
4;25;6915;255204
5;2;10052;252090
1;39053;65615;157476
2;31305;1945;228894
3;631;4079;257434
4;36;7126;254982
5;2;10227;251915
1;39390;65353;157401
2;31353;1870;228921
3;598;4042;257504
4;26;7126;254992
5;2;10283;251859
1;39460;65637;157047
2;31621;1902;228621
3;633;4030;257481
4;36;7097;255011
5;5;10123;252016
6;2;13146;248996
1;39663;65235;157246
2;31136;1873;229135
3;571;4056;257517
4;31;7143;254970
1;39042;65500;157602
2;30936;1790;229418
3;575;3944;257625
4;34;7118;254992
1;39533;65412;157199
2;31434;1956;228754
3;647;4098;257399
4;32;7235;254877
5;2;10308;251834
1;39089;64994;158061
2;30716;1906;229522
3;625;4008;257511
4;36;7016;255092
5;4;10050;252090
6;1;13075;249068
1;39259;65504;157381
2;31023;1876;229245
3;586;4075;257483
4;29;7269;254846
5;3;10302;251839
1;39144;65921;157079
2;31522;1893;228729
3;580;4028;257536
4;37;6989;255118
5;5;10133;252006
1;39226;65840;157078
2;31290;1879;228975
3;569;4055;257520
4;17;7103;255024
1;39330;65883;156931
2;31430;1936;228778
3;617;4077;257450
4;33;7127;254984
5;2;10127;252015
1;39335;65331;157478
2;31342;1885;228917
3;577;4027;257540
4;26;7066;255052
5;1;10086;252057
1;38858;65913;157373
2;31228;1835;229081
3;595;3940;257609
4;33;6926;255185
5;1;9955;252188
1;39155;65694;157295
2;31270;1897;228977
3;593;4006;257545
4;24;7100;255020
1;39280;65605;157259
2;31348;1845;228951
3;557;4018;257569
4;39;7062;255043
1;39456;66007;156681
2;31667;1867;228610
3;609;3973;257562
4;33;7020;255091
5;2;10051;252091
1;39474;65308;157362
2;31204;1831;229109
3;584;3973;257587
4;35;6895;255214
5;6;9959;252179
6;1;13054;249089
1;39173;65275;157696
2;31232;1841;229071
3;598;3847;257699
4;45;6827;255272
5;4;9913;252227
1;39186;65633;157325
2;31349;1911;228884
3;608;3999;257537
4;35;7127;254982
5;2;10194;251948
1;39337;65594;157213
2;31480;1945;228719
3;614;4075;257455
4;28;6960;255156
5;2;10047;252095
6;1;13065;249078
1;39473;65193;157478
2;31181;1889;229074
3;633;4060;257451
4;27;7144;254973
1;39388;65481;157275
2;31299;1860;228985
3;589;3937;257618
4;24;7078;255042
5;4;10128;252012
1;39037;65254;157853
2;31222;1987;228935
3;622;4162;257360
4;34;7200;254910
5;2;10261;251881
6;1;13224;248919
1;39494;65325;157325
2;31411;1814;228919
3;575;4030;257539
4;38;7166;254940
