t;fuego;arboles;vacios
5;1;10199;251944
6;1;13202;248941
1;39048;65823;157273
2;31299;1859;228986
3;581;4079;257484
4;35;7093;255016
5;3;10241;251900
1;39249;65779;157116
2;31279;1884;228981
3;621;3994;257529
4;36;7043;255065
5;5;10245;251894
1;39039;65981;157124
2;31394;1895;228855
3;620;4066;257458
4;36;7017;255091
1;39459;65517;157168
2;31330;1862;228952
3;590;4010;257544
4;21;7018;255105
5;3;10025;252116
6;1;12945;249198
1;39098;65527;157519
2;31172;1928;229044
3;604;4086;257454
4;31;7169;254944
5;1;10266;251877
6;1;13317;248826
1;39450;65678;157016
2;31434;1892;228818
3;608;4136;257400
4;41;7192;254911
5;3;10207;251934
1;39297;65332;157515
2;31265;1861;229018
3;562;4092;257490
4;32;7040;255072
1;39397;65393;157354
2;31207;1916;229021
3;597;4140;257407
4;28;7254;254862
1;39439;65595;157110
2;31411;1883;228850
3;555;4054;257535
4;25;7083;255036
5;1;10207;251936
1;39683;65412;157049
2;31560;1865;228719
3;569;4014;257561
4;33;7107;255004
5;1;10150;251993
1;39401;65551;157192
2;31596;1906;228642
3;639;4089;257416
4;36;7164;254944
5;2;10259;251883
1;39142;65548;157454
2;31002;1840;229302
3;582;4055;257507
4;30;7165;254949
1;39063;65871;157210
2;31239;1948;228957
3;634;3980;257530
4;37;7075;255032
5;2;10163;251979
1;39231;65596;157317
2;31318;1880;228946
3;657;4170;257317
4;35;7230;254879
5;4;10214;251926
1;39194;65927;157023
2;31519;1903;228722
3;582;4166;257396
4;26;7186;254932
5;2;10180;251962
1;39388;65429;157327
2;31248;1933;228963
3;618;4037;257489
4;33;7066;255045
5;2;10098;252044
1;39221;65706;157217
2;31372;1870;228902
3;613;3950;257581
4;29;7035;255080
5;3;10118;252023
1;39167;65613;157364
2;31469;1849;228826
3;589;3917;257638
4;35;6979;255130
5;1;9993;252150
1;39244;65711;157189
2;31340;1891;228913
3;573;4088;257483
4;38;7061;255045
5;4;10164;251976
1;39256;65627;157261
2;31073;1891;229180
3;603;4034;257507
4;30;7133;254981
5;1;10150;251993
1;39334;65308;157502
2;31190;1883;229071
3;582;4043;257519
4;28;7095;255021
1;39268;65559;157317
2;31360;1975;228809
3;616;4124;257404
4;30;7104;255010
5;3;10172;251969
1;39278;65312;157554
2;31154;1849;229141
3;585;3984;257575
4;24;6974;255146
5;1;10007;252136
1;39205;65340;157599
2;31345;1903;228896
3;593;3975;257576
4;32;7012;255100
5;2;10143;251999
6;1;13240;248903
7;1;16252;245891
1;39182;65727;157235
2;31658;1886;228600
3;596;4095;257453
4;40;7204;254900
5;3;10165;251976
6;1;13223;248920
1;39390;65599;157155
2;31452;1889;228803
3;615;4101;257428
4;33;7172;254939
5;3;10178;251963
1;39263;65611;157270
2;31244;1889;229011
3;587;4052;257505
4;30;7078;255036
5;2;10165;251977
1;39126;65813;157205
2;31117;1822;229205
3;585;3998;257561
4;31;7027;255086
5;3;10180;251961
1;39298;65834;157012
2;31667;1907;228570
3;614;4044;257486
4;39;7107;254998
5;3;10191;251950
6;1;13252;248891
1;39414;65471;157259
2;31347;1859;228938
3;596;4024;257524
4;23;7078;255043
1;39450;65612;157082
2;31237;1919;228988
3;604;3984;257556
4;27;6947;255170
5;5;9996;252143
1;39479;65453;157212
2;31460;1920;228764
3;583;4105;257456
4;35;7068;255041
5;2;9996;252146
1;39386;65782;156976
2;31427;1863;228854
3;591;4002;257551
4;28;7054;255062
1;39192;65665;157287
2;31452;1858;228834
3;594;3982;257568
4;32;7074;255038
5;3;10080;252061
1;39337;65327;157480
2;31323;1796;229025
3;562;3993;257589
4;21;7058;255065
5;4;10032;252108
1;39625;65150;157369
2;31430;1903;228811
3;614;4034;257496
4;35;7057;255052
5;1;10069;252074
1;39638;65466;157040
2;31508;1826;228810
3;596;3953;257595
4;33;7008;255103
5;1;10068;252075
1;39087;65887;157170
2;31277;1849;229018
3;608;3943;257593
4;24;7061;255059
5;1;10146;251997
1;39357;65629;157158
2;31564;1845;228735
3;594;4024;257526
4;34;7044;255066
5;3;10071;252070
1;38994;65478;157672
2;31125;1846;229173
3;570;4007;257567
4;31;7001;255112
5;2;10004;252138
6;1;12910;249233
1;39016;65446;157682
2;31220;1912;229012
3;588;4088;257468
4;24;7184;254936
5;4;10303;251837
1;39218;65147;157779
2;31236;1965;228943
3;645;4020;257479
4;29;7076;255039
5;2;10190;251952
1;39187;65998;156959
2;31403;1877;228864
3;579;4033;257532
4;26;7001;255117
5;4;9932;252208
1;39299;65740;157105
2;31352;1907;228885
3;612;4052;257480
4;21;7034;255089
5;2;10044;252098
1;39572;65169;157403
2;31216;1958;228970
3;620;4010;257514
4;31;7163;254950
5;2;10211;251931
1;39277;65329;157538
2;31305;1884;228955
3;574;4092;257478
4;26;7101;255017
5;1;10186;251957
1;39453;65383;157308
2;31454;1854;228836
3;600;4037;257507
4;35;7083;255026
1;39011;65582;157551
2;31092;1901;229151
3;618;3936;257590
4;36;7035;255073
5;3;10153;251988
1;39290;65379;157475
2;31383;1888;228873
3;565;4073;257506
4;28;7068;255048
5;5;10178;251961
1;39266;65456;157422
2;31306;1894;228944
3;588;4012;257544
4;27;7066;255051
5;4;10150;251990
1;39153;65725;157266
2;31221;1899;229024
3;599;4093;257452
4;25;7168;254951
5;3;10154;251987
6;1;13169;248974
1;39083;65376;157685
2;31033;1905;229206
3;591;4056;257497
4;19;7142;254983
1;39685;65133;157326
2;31266;1822;229056
3;596;3958;257590
4;27;7044;255073
5;3;10118;252023
6;2;13145;248997
1;39298;65387;157459
2;31188;1869;229087
3;586;3925;257633
4;27;7003;255114
5;3;10043;252098
1;39242;65473;157429
2;31223;1908;229013
3;613;4065;257466
4;34;7135;254975
5;1;10206;251937
6;1;13240;248903
1;39193;65502;157449
2;31312;1864;228968
3;609;3923;257612
4;35;6967;255142
5;2;10105;252037
1;39606;65349;157189
2;31368;1886;228890
3;643;3900;257601
4;43;6926;255175
5;3;10075;252066
1;39597;65088;157459
2;31154;1904;229086
3;603;4041;257500
4;32;7128;254984
5;2;10258;251884
6;1;13262;248881
1;39168;65681;157295
2;31179;1918;229047
3;610;3915;257619
4;23;7004;255117
5;2;10050;252092
1;39583;64944;157617
2;31289;1916;228939
3;618;4051;257475
4;29;6973;255142
1;39169;65233;157742
2;31259;1861;229024
3;572;4070;257502
4;28;7078;255038
5;4;10229;251911
6;1;13213;248930
1;39437;65705;157002
2;31255;1865;229024
3;599;4013;257532
4;28;7136;254980
5;1;10184;251959
1;39141;65949;157054
2;31653;1865;228626
3;638;3939;257567
4;31;7028;255085
5;1;10142;252001
1;39053;65767;157324
2;31251;1909;228984
3;573;4159;257412
4;31;7178;254935
5;3;10189;251952
1;39270;65555;157319
2;31194;1867;229083
3;562;4048;257534
4;33;6945;255166
5;3;9987;252154
6;1;13071;249072
1;39618;65688;156838
2;31492;1944;228708
3;627;4049;257468
4;34;7141;254969
5;3;10186;251955
1;39103;65625;157416
2;31240;1870;229034
3;568;4039;257537
4;29;7157;254958
5;3;10200;251941
1;39078;65188;157878
2;30795;1938;229411
3;572;4129;257443
4;29;7189;254926
5;3;10211;251930
1;39472;65539;157133
2;31708;1855;228581
3;565;4041;257538
4;27;7142;254975
5;1;10235;251908
