t;fuego;arboles;vacios
1;156782;262679;629115
2;125029;63200;860347
3;20194;129228;899154
4;7904;211365;829307
5;4776;289351;754449
6;3548;361058;683970
7;3069;426457;619050
8;2981;484836;560759
9;3131;537891;507554
10;3516;584903;460157
11;4166;626579;417831
12;5040;663096;380440
13;6236;694739;347601
14;7892;721387;319297
15;9802;743907;294867
16;12202;761343;275031
17;15235;773525;259816
18;18680;780855;249041
19;22502;783673;242401
20;26766;781074;240736
21;31128;774040;243408
22;35507;762643;250426
23;39641;747906;261029
24;42939;730985;274652
25;45840;712659;290077
26;47951;693548;307077
27;49278;674967;324331
28;49911;657554;341111
29;50279;641342;356955
30;50012;627476;371088
31;49714;614780;384082
32;49326;603907;395343
33;49012;594513;405051
34;48595;586266;413715
35;48398;579228;420950
36;48438;572874;427264
37;48677;566958;432941
38;48807;561405;438364
39;49568;555710;443298
40;50368;549660;448548
41;51144;543392;454040
42;51863;536997;459716
43;52621;530319;465636
44;53750;523344;471482
45;54854;515784;477938
46;55480;508388;484708
47;55646;501326;491604
48;55918;494523;498135
49;55907;488330;504339
50;56155;482360;510061
51;55676;477664;515236
52;55166;473847;519563
53;55020;470858;522698
54;54695;468702;525179
55;54639;466260;527677
56;54415;464279;529882
57;54116;463105;531355
58;54513;461587;532476
59;54272;460305;533999
60;54137;459196;535243
61;54240;458456;535880
62;54708;457465;536403
63;54953;456373;537250
64;55311;455035;538230
65;55469;453526;539581
66;55666;451939;540971
67;56013;449958;542605
68;56255;448055;544266
69;56612;445785;546179
70;56991;443536;548049
71;56736;441704;550136
72;56784;439665;552127
73;56785;437880;553911
74;56625;436561;555390
75;56480;435838;556258
76;56435;435134;557007
77;56662;434460;557454
78;56773;433530;558273
79;56472;432957;559147
80;55960;432856;559760
81;55709;433083;559784
82;55438;433744;559394
83;55105;435241;558230
84;55381;435780;557415
85;55593;436322;556661
86;55801;436029;556746
87;55929;435208;557439
88;55911;434872;557793
89;56063;434642;557871
90;56298;434211;558067
91;56668;433526;558382
92;56779;432342;559455
93;56851;431475;560250
94;56528;430913;561135
95;56594;430578;561404
96;56645;429897;562034
97;56675;429458;562443
98;56715;428793;563068
99;56344;429013;563219
100;56247;428710;563619
101;55928;429054;563594
102;55625;429976;562975
103;55699;430690;562187
104;55711;431311;561554
105;56054;431150;561372
106;55890;430709;561977
107;55977;430921;561678
108;56008;430807;561761
109;55862;431061;561653
110;55736;431186;561654
111;56358;430794;561424
112;56448;430087;562041
113;56250;429714;562612
114;56193;429712;562671
115;56101;430036;562439
116;56398;429938;562240
117;56628;429652;562296
118;56543;429459;562574
119;56558;429162;562856
120;56300;428991;563285
121;56051;429046;563479
122;55847;429422;563307
123;55715;430423;562438
124;55556;430838;562182
125;55796;431182;561598
126;55820;431492;561264
127;55910;431565;561101
128;55831;431750;560995
129;55641;431937;560998
130;56242;431672;560662
131;56579;431069;560928
132;56733;430569;561274
133;56770;429768;562038
134;56643;428949;562984
135;56221;429435;562920
136;56137;429657;562782
137;56094;429707;562775
138;56289;429492;562795
139;56426;429749;562401
140;56077;430224;562275
141;56234;430010;562332
142;56111;430164;562301
143;55946;430701;561929
144;56025;430876;561675
145;56349;430626;561601
146;56554;430234;561788
147;56717;429387;562472
148;56910;429072;562594
149;56667;428771;563138
150;56114;429205;563257
1;156987;261607;629982
2;124709;62941;860926
3;19944;128963;899669
4;7829;211209;829538
5;4674;288971;754931
6;3567;360628;684381
7;3092;425688;619796
8;3035;485126;560415
9;3157;538248;507171
10;3517;585462;459597
11;4193;627457;416926
12;5046;664092;379438
13;6206;695849;346521
14;7724;722806;318046
15;9608;745280;293688
16;11999;762625;273952
17;14945;775149;258482
18;18565;782773;247238
19;22562;784977;241037
20;26917;782511;239148
21;31262;775113;242201
22;35358;764036;249182
23;39265;749781;259530
24;42811;733025;272740
25;45647;714628;288301
26;47842;695636;305098
27;49246;676753;322577
28;49632;659039;339905
29;49685;643412;355479
30;49337;629689;369550
31;49016;617555;382005
32;48543;606857;393176
33;48201;598299;402076
34;47727;590907;409942
35;47541;584572;416463
36;47443;578738;422395
37;47741;573201;427634
38;48402;567586;432588
39;49135;561618;437823
40;49919;555397;443260
41;50959;548834;448783
42;51794;541817;454965
43;52398;534899;461279
44;53065;527932;467579
45;53817;520940;473819
46;54583;513769;480224
47;55163;506635;486778
48;55178;499899;493499
49;55100;494185;499291
50;54790;489425;504361
51;54636;484948;508992
52;54477;481405;512694
53;54387;478575;515614
54;54231;475831;518514
55;54300;473160;521116
56;54553;470783;523240
57;54434;469036;525106
58;54451;467113;527012
59;54772;465300;528504
60;54920;463145;530511
61;55215;461012;532349
62;55499;458886;534191
63;55542;456882;536152
64;56177;454003;538396
65;56318;451273;540985
66;56743;448145;543688
67;56656;445974;545946
68;56580;443954;548042
69;56268;442119;550189
70;55816;440924;551836
71;55680;440688;552208
72;55937;440144;552495
73;55722;439653;553201
74;55732;438866;553978
75;55663;438227;554686
76;55502;437981;555093
77;55387;437958;555231
78;55398;438163;555015
79;55479;438174;554923
80;55679;438307;554590
81;55779;437935;554862
82;56230;437271;555075
83;56615;436209;555752
84;56641;435528;556407
85;56897;433894;557785
86;56514;433618;558444
87;56474;433110;558992
88;56401;432982;559193
89;56482;432283;559811
90;56221;432283;560072
91;56043;432407;560126
92;55919;432360;560297
93;55681;432550;560345
94;56000;432587;559989
95;56433;431861;560282
96;56526;431405;560645
97;56531;431027;561018
98;56488;430668;561420
99;56106;430441;562029
100;56261;430197;562118
101;56534;429613;562429
102;56622;429476;562478
103;56550;429361;562665
104;56178;429591;562807
105;55944;429542;563090
106;55570;430392;562614
107;55738;431016;561822
108;55574;431950;561052
109;55924;431838;560814
110;56066;431646;560864
111;55903;431569;561104
112;55765;431616;561195
113;55901;431538;561137
114;56201;431542;560833
115;56283;430984;561309
116;56391;430618;561567
117;56641;429887;562048
118;56779;429330;562467
119;56767;428584;563225
120;56661;427978;563937
121;56415;427794;564367
122;55942;428246;564388
123;55655;428855;564066
124;55826;428829;563921
125;55787;429240;563549
126;55857;429889;562830
127;56120;430206;562250
128;56354;430264;561958
129;56732;430079;561765
130;56766;429321;562489
131;56747;428728;563101
132;56683;428680;563213
133;56640;428538;563398
134;56428;428539;563609
135;56605;428050;563921
136;56166;428435;563975
137;56007;428892;563677
138;56072;429224;563280
139;56124;429528;562924
140;56024;430188;562364
141;56132;430465;561979
142;56132;430578;561866
143;56445;430407;561724
144;56510;429997;562069
145;56513;429570;562493
146;56576;429224;562776
147;56900;428205;563471
148;56894;427678;564004
149;57220;426739;564617
150;56921;426344;565311
1;157821;262255;628500
2;125734;63228;859614
3;20370;128667;899539
4;8003;210916;829657
5;4841;288881;754854
6;3542;360694;684340
7;3105;425909;619562
8;2968;484882;560726
9;3139;537855;507582
10;3503;585179;459894
11;4140;627143;417293
12;4984;664100;379492
13;6139;695844;346593
14;7705;722689;318182
15;9615;744842;294119
16;12000;762326;274250
17;14971;774382;259223
18;18297;781995;248284
19;22052;784677;241847
20;26067;782666;239843
21;30321;776305;241950
22;34220;766402;247954
23;37914;753367;257295
24;41327;737764;269485
25;44155;720652;283769
26;46251;702775;299550
27;47733;685049;315794
28;48693;667993;331890
29;49104;651790;347682
30;49000;637601;361975
31;48871;624902;374803
32;48479;613813;386284
33;48171;604312;396093
34;47785;596181;404610
35;47757;588950;411869
36;47868;582226;418482
37;48252;576042;424282
38;48632;569719;430225
39;49189;563493;435894
40;49800;557225;441551
41;50776;550397;447403
42;51801;543677;453098
43;52599;536833;459144
44;53163;529895;465518
45;54141;522614;471821
46;54639;514952;478985
47;54685;508173;485718
48;54581;502227;491768
49;54596;496504;497476
50;54836;491573;502167
51;55067;486541;506968
52;55009;482429;511138
53;54818;478424;515334
54;54704;475176;518696
55;54678;472630;521268
56;54797;470215;523564
57;55001;467355;526220
58;54854;464811;528911
59;54623;462986;530967
60;54828;461237;532511
61;55123;459530;533923
62;54940;458139;535497
63;55032;456518;537026
64;55067;455082;538427
65;55448;453099;540029
66;55476;451527;541573
67;55663;449841;543072
68;55983;448422;544171
69;56393;446699;545484
70;56695;444530;547351
71;56621;442564;549391
72;56398;441078;551100
73;56472;439314;552790
74;56168;438079;554329
75;56085;437615;554876
76;56362;436764;555450
77;56187;436345;556044
78;55907;436174;556495
79;56067;435880;556629
80;56287;434997;557292
81;56165;434711;557700
82;56012;434724;557840
83;56126;434018;558432
84;56177;433870;558529
85;56156;433203;559217
86;56286;432551;559739
87;56203;432642;559731
88;56395;432075;560106
89;56470;431612;560494
90;56359;431475;560742
91;56354;431007;561215
92;56460;430724;561392
93;56517;430227;561832
94;56476;430060;562040
95;56477;429826;562273
96;56640;428989;562947
97;56520;428574;563482
98;56161;428919;563496
99;55887;429510;563179
100;55581;430660;562335
101;55979;430830;561767
102;55854;430997;561725
103;55905;431126;561545
104;56114;430942;561520
105;56107;431190;561279
106;55828;431552;561196
107;56109;431600;560867
108;56200;431345;561031
109;56033;431466;561077
110;56124;431520;560932
111;56001;431939;560636
112;56374;431180;561022
113;56165;431073;561338
114;56169;431098;561309
115;56104;430964;561508
116;56030;430844;561702
117;56080;430606;561890
118;56310;430252;562014
119;56529;429955;562092
120;56244;429624;562708
121;56104;429990;562482
122;55946;430566;562064
123;55943;430722;561911
124;55842;431009;561725
125;55902;431181;561493
126;56215;431031;561330
127;56388;430806;561382
128;56421;430241;561914
129;56351;429977;562248
130;56230;429574;562772
131;56460;429310;562806
132;56390;428972;563214
133;56426;428854;563296
134;56147;429354;563075
135;56203;429563;562810
136;56091;429816;562669
137;56195;429611;562770
138;55951;430285;562340
139;55993;429969;562614
140;55852;430390;562334
141;55576;431103;561897
142;55749;431639;561188
143;56135;431490;560951
144;56310;431190;561076
145;56414;430716;561446
146;56700;430234;561642
147;56673;429719;562184
148;56547;429478;562551
149;56595;429231;562750
150;56524;429269;562783
1;157526;262004;629046
2;125475;63333;859768
3;20440;128989;899147
4;8041;211048;829487
5;4827;289042;754707
6;3554;361154;683868
7;3084;426252;619240
8;2927;485192;560457
9;3082;538394;507100
10;3442;585914;459220
11;4075;627789;416712
12;4928;664728;378920
13;6142;696544;345890
14;7801;723465;317310
15;9790;745552;293234
16;12228;762935;273413
17;15197;775253;258126
18;18657;782432;247487
19;22353;785156;241067
20;26376;782598;239602
21;30676;775891;242009
22;35104;764995;248477
23;39059;750795;258722
24;42531;734048;271997
25;45059;716346;287171
26;47212;697759;303605
27;48442;679765;320369
28;49014;662731;336831
29;49202;647340;352034
30;49101;633441;366034
31;48794;621163;378619
32;48442;610921;389213
33;48248;601752;398576
34;48414;592770;407392
35;47996;585410;415170
36;47959;579091;421526
37;48235;572647;427694
38;48803;566729;433044
39;49170;560789;438617
