t;fuego;arboles;vacios
1;2519;4035;9830
2;1974;951;13459
3;316;1971;14097
4;124;3255;13005
5;63;4462;11859
6;49;5601;10734
7;38;6684;9662
8;36;7581;8767
9;37;8469;7878
10;38;9185;7161
11;53;9856;6475
12;64;10382;5938
13;82;10900;5402
14;103;11352;4929
15;133;11688;4563
16;175;12000;4209
17;228;12210;3946
18;276;12343;3765
19;333;12370;3681
20;411;12350;3623
21;466;12247;3671
22;506;12096;3782
23;524;11917;3943
24;572;11744;4068
25;587;11606;4191
26;609;11436;4339
27;600;11229;4555
28;598;11115;4671
29;620;10934;4830
30;634;10762;4988
31;653;10580;5151
32;650;10438;5296
33;660;10297;5427
34;672;10137;5575
35;710;10024;5650
36;748;9862;5774
37;760;9708;5916
38;782;9504;6098
39;818;9333;6233
40;842;9092;6450
41;855;8869;6660
42;859;8666;6859
43;808;8536;7040
44;816;8421;7147
45;856;8269;7259
46;838;8162;7384
47;820;8134;7430
48;847;8010;7527
49;811;7904;7669
50;789;7858;7737
51;773;7890;7721
52;768;7890;7726
53;757;7878;7749
54;752;7886;7746
55;780;7892;7712
56;783;7892;7709
57;795;7925;7664
58;797;7903;7684
59;829;7797;7758
60;916;7634;7834
61;936;7513;7935
62;988;7329;8067
63;1019;7110;8255
64;967;6948;8469
65;955;6851;8578
66;894;6774;8716
67;882;6738;8764
68;868;6733;8783
69;853;6727;8804
70;849;6750;8785
71;879;6724;8781
72;871;6664;8849
73;836;6729;8819
74;804;6788;8792
75;828;6839;8717
76;856;6829;8699
77;881;6807;8696
78;879;6766;8739
79;884;6756;8744
80;853;6773;8758
81;844;6807;8733
82;847;6810;8727
83;847;6827;8710
84;871;6855;8658
85;855;6880;8649
86;884;6843;8657
87;874;6813;8697
88;849;6837;8698
89;851;6867;8666
90;854;6854;8676
91;833;6913;8638
92;827;6972;8585
93;885;6975;8524
94;925;6884;8575
95;928;6782;8674
96;972;6590;8822
97;966;6511;8907
98;944;6450;8990
99;955;6430;8999
100;913;6406;9065
1;2373;3995;10016
2;1880;1020;13484
3;322;2142;13920
4;147;3384;12853
5;76;4643;11665
6;48;5761;10575
7;42;6754;9588
8;46;7690;8648
9;49;8507;7828
10;55;9208;7121
11;59;9901;6424
12;76;10481;5827
13;95;10997;5292
14;130;11410;4844
15;172;11698;4514
16;191;11970;4223
17;233;12124;4027
18;275;12249;3860
19;350;12288;3746
20;419;12227;3738
21;487;12115;3782
22;586;11946;3852
23;672;11676;4036
24;733;11363;4288
25;788;11014;4582
26;826;10655;4903
27;856;10273;5255
28;833;9955;5596
29;853;9667;5864
30;864;9370;6150
31;898;9052;6434
32;923;8759;6702
33;920;8471;6993
34;896;8271;7217
35;883;8101;7400
36;878;7963;7543
37;846;7893;7645
38;842;7824;7718
39;802;7808;7774
40;805;7734;7845
41;788;7716;7880
42;792;7739;7853
43;775;7730;7879
44;774;7738;7872
45;781;7726;7877
46;794;7748;7842
47;802;7726;7856
48;837;7657;7890
49;839;7576;7969
50;836;7559;7989
51;830;7511;8043
52;827;7487;8070
53;894;7469;8021
54;928;7323;8133
55;935;7153;8296
56;944;7029;8411
57;930;6959;8495
58;918;6880;8586
59;918;6786;8680
60;908;6762;8714
61;928;6677;8779
62;932;6617;8835
63;896;6609;8879
64;874;6628;8882
65;829;6649;8906
66;789;6747;8848
67;822;6798;8764
68;852;6846;8686
69;894;6824;8666
70;891;6811;8682
71;887;6802;8695
72;918;6731;8735
73;945;6649;8790
74;953;6595;8836
75;935;6507;8942
76;938;6452;8994
77;942;6405;9037
78;920;6392;9072
79;906;6358;9120
80;858;6410;9116
81;869;6463;9052
82;873;6528;8983
83;829;6544;9011
84;825;6622;8937
85;798;6724;8862
86;762;6794;8828
87;817;6861;8706
88;813;6915;8656
89;826;6967;8591
90;843;6958;8583
91;889;6939;8556
92;907;6877;8600
93;891;6836;8657
94;894;6845;8645
95;904;6793;8687
96;858;6824;8702
97;871;6848;8665
98;859;6880;8645
99;873;6847;8664
100;888;6831;8665
1;2397;4182;9805
2;1891;998;13495
3;318;2016;14050
4;109;3359;12916
5;53;4641;11690
6;35;5770;10579
7;36;6785;9563
8;38;7763;8583
9;47;8545;7792
10;57;9278;7049
11;59;9924;6401
12;73;10533;5778
13;95;11064;5225
14;119;11461;4804
15;140;11827;4417
16;193;12099;4092
17;245;12246;3893
18;297;12330;3757
19;352;12363;3669
20;424;12315;3645
21;483;12217;3684
22;557;12040;3787
23;663;11793;3928
24;724;11464;4196
25;799;11099;4486
26;814;10756;4814
27;823;10420;5141
28;831;10104;5449
29;835;9800;5749
30;840;9528;6016
31;841;9289;6254
32;821;9115;6448
33;841;8902;6641
34;803;8745;6836
35;826;8600;6958
36;853;8428;7103
37;876;8246;7262
38;847;8129;7408
39;806;8090;7488
40;792;8026;7566
41;796;7974;7614
42;800;7938;7646
43;797;7913;7674
44;815;7870;7699
45;848;7841;7695
46;846;7734;7804
47;887;7657;7840
48;907;7528;7949
49;884;7422;8078
50;896;7329;8159
51;879;7248;8257
52;876;7187;8321
53;886;7148;8350
54;928;7038;8418
55;906;7012;8466
56;887;6968;8529
57;842;6989;8553
58;834;7049;8501
59;822;7058;8504
60;816;7102;8466
61;812;7190;8382
62;809;7227;8348
63;821;7203;8360
64;866;7192;8326
65;884;7145;8355
66;918;7062;8404
67;912;6991;8481
68;904;6918;8562
69;932;6821;8631
70;940;6757;8687
71;942;6703;8739
72;935;6592;8857
73;881;6577;8926
74;841;6607;8936
75;859;6644;8881
76;842;6661;8881
77;779;6771;8834
78;784;6915;8685
79;767;7045;8572
80;833;7094;8457
81;866;7093;8425
82;890;7080;8414
83;859;7034;8491
84;896;6960;8528
85;875;6966;8543
86;936;6918;8530
87;966;6846;8572
88;956;6691;8737
89;923;6631;8830
90;936;6633;8815
91;937;6571;8876
92;925;6469;8990
93;869;6484;9031
94;851;6549;8984
95;847;6639;8898
96;805;6713;8866
97;783;6825;8776
