t;fuego;arboles;vacios
1;39169;65535;157440
2;31249;15597;215298
3;4966;32174;225004
4;1960;52878;207306
5;1155;72443;188546
6;826;90476;170842
7;728;106729;154687
8;707;121622;139815
9;759;134723;126662
10;850;146363;114931
11;990;156719;104435
12;1166;165988;94990
13;1451;173979;86714
14;1826;180852;79466
15;2284;186429;73431
16;2869;190824;68451
17;3450;194263;64431
18;4274;196321;61549
19;5217;197237;59690
20;6170;197133;58841
21;7162;195777;59205
22;8125;193579;60440
23;9112;190553;62479
24;9964;186948;65232
25;10541;183015;68588
26;11075;178811;72258
27;11490;174539;76115
28;11672;170414;80058
29;11868;166634;83642
30;11932;163182;87030
31;11919;160064;90161
32;11836;157370;92938
33;11822;154828;95494
34;11760;152568;97816
35;11875;150364;99905
36;11918;148592;101634
37;12025;146841;103278
38;12084;145027;105033
39;12306;143245;106593
40;12506;141520;108118
41;12741;139701;109702
42;13011;137453;111680
43;13247;135278;113619
44;13444;133299;115401
45;13557;131145;117442
46;13723;129127;119294
47;13898;127160;121086
48;13960;125246;122938
49;13873;123716;124555
50;13899;122342;125903
51;13845;121245;127054
52;13747;120183;128214
53;13776;119148;129220
54;13773;118401;129970
55;13606;117721;130817
56;13448;117516;131180
57;13464;117319;131361
58;13546;116825;131773
59;13729;116246;132169
60;13605;115895;132644
61;13557;115723;132864
62;13757;115429;132958
63;13937;114952;133255
64;14122;114088;133934
65;14122;113409;134613
66;14236;112576;135332
67;14267;111819;136058
68;14192;111114;136838
69;14045;110753;137346
70;13913;110729;137502
71;13981;110668;137495
72;14015;110351;137778
73;14048;110132;137964
74;13875;110190;138079
75;13845;110143;138156
76;13816;109985;138343
77;13932;109999;138213
78;13867;109997;138280
79;13811;109899;138434
80;13881;109755;138508
81;13960;109836;138348
82;13929;109710;138505
83;13974;109614;138556
84;13965;109348;138831
85;14068;109079;138997
86;14107;108866;139171
87;14037;108856;139251
88;14068;108738;139338
89;14184;108485;139475
90;14166;108261;139717
91;14102;108192;139850
92;14215;107739;140190
93;14266;107617;140261
94;14109;107423;140612
95;13943;107392;140809
