P= 0.100000;
L= 128;
Repeticiones= 100;
Pasos= 100;
;
Tamano;Cantidad
1;721
2;164
3;87
4;55
5;30
6;26
7;20
8;18
9;16
10;7
11;9
12;6
13;6
14;5
15;4
16;4
17;2
18;2
19;4
20;2
21;4
22;1
23;4
24;3
27;1
28;1
29;1
30;1
32;3
34;1
36;2
37;1
39;1
41;2
42;1
45;2
46;2
50;1
54;1
56;2
59;2
64;2
65;1
69;1
70;1
72;1
76;2
80;1
85;1
91;2
93;1
98;1
108;1
143;1
205;1
226;1
365;1
1;624
2;141
3;76
4;38
5;34
6;24
7;17
8;8
9;12
10;6
11;4
12;5
13;12
14;4
15;4
16;2
17;3
18;1
19;5
20;3
21;2
22;3
23;2
24;2
25;2
27;1
28;1
29;2
30;4
31;1
32;1
34;1
35;1
36;2
38;1
39;1
42;1
43;1
44;1
46;3
47;1
48;1
49;1
52;2
56;1
57;1
67;2
69;1
73;1
75;1
79;1
84;1
97;1
105;1
120;1
126;1
138;2
176;1
193;1
329;1
918;1
1;607
2;151
3;69
4;48
5;34
6;15
7;17
8;14
9;14
10;12
11;11
12;4
13;4
14;5
15;3
16;5
17;4
18;2
19;4
20;1
23;2
24;2
28;2
30;3
33;2
34;1
35;1
36;1
37;1
39;3
41;2
43;1
44;1
46;1
47;1
49;1
50;2
52;1
53;1
55;1
58;1
62;1
66;1
75;1
76;1
77;1
82;3
85;1
120;1
123;1
127;1
132;1
161;1
170;1
180;1
181;1
203;1
257;1
366;1
513;1
1;623
2;142
3;78
4;52
5;28
6;22
7;24
8;13
9;10
10;10
11;4
12;4
13;6
14;4
15;3
16;2
17;5
18;4
20;4
21;5
22;3
23;2
25;2
26;2
27;2
28;1
29;2
32;2
34;1
35;1
36;3
37;1
38;2
39;1
42;1
43;2
45;1
46;2
48;3
62;1
63;2
85;1
86;2
88;2
97;1
98;1
105;1
120;1
135;1
156;1
190;1
219;1
320;1
365;1
547;1
1;621
2;152
3;79
4;47
5;34
6;14
7;18
8;9
9;14
10;6
11;6
12;11
13;10
14;4
15;2
16;4
17;3
19;3
20;1
21;1
22;1
23;1
